CTID,CTUID,CTUIDJOIN,MEDIANINCOME
1.01,5410001.01,5410001.01,30554
1.02,5410001.02,5410001.02,36710
2.01,5410002.01,5410002.01,23483
2.02,5410002.02,5410002.02,27602
2.03,5410002.03,5410002.03,28412
2.04,5410002.04,5410002.04,25553
2.06,5410002.06,5410002.06,25116
2.07,5410002.07,5410002.07,31300
2.08,5410002.08,5410002.08,35443
3,5410003,5410003.00,25830
4.01,5410004.01,5410004.01,30652
4.02,5410004.02,5410004.02,25986
5,5410005,5410005.00,22601
6,5410006,5410006.00,25614
7,5410007,5410007.00,26577
8.01,5410008.01,5410008.01,31483
8.02,5410008.02,5410008.02,31370
8.04,5410008.04,5410008.04,32787
8.05,5410008.05,5410008.05,30776
8.06,5410008.06,5410008.06,33069
9.01,5410009.01,5410009.01,23185
9.02,5410009.02,5410009.02,21700
9.03,5410009.03,5410009.03,31919
10,5410010,5410010.00,25683
11,5410011,5410011.00,22121
12,5410012,5410012.00,25982
13,5410013,5410013.00,29307
14.02,5410014.02,5410014.02,27151
14.03,5410014.03,5410014.03,29292
14.04,5410014.04,5410014.04,25591
14.05,5410014.05,5410014.05,33279
15,5410015,5410015.00,28921
16,5410016,5410016.00,28337
17,5410017,5410017.00,20329
18,5410018,5410018.00,20473
19,5410019,5410019.00,27621
20,5410020,5410020.00,30070
21,5410021,5410021.00,25765
22,5410022,5410022.00,27038
23,5410023,5410023.00,28785
24,5410024,5410024.00,32690
25,5410025,5410025.00,47576
100,5410100,5410100.00,34442
101.01,5410101.01,5410101.01,25277
101.03,5410101.03,5410101.03,26183
101.04,5410101.04,5410101.04,39146
102,5410102,5410102.00,26447
103,5410103,5410103.00,31147
104,5410104,5410104.00,28053
105,5410105,5410105.00,21367
106.01,5410106.01,5410106.01,11120
106.02,5410106.02,5410106.02,20335
107.01,5410107.01,5410107.01,33376
107.02,5410107.02,5410107.02,25932
108.01,5410108.01,5410108.01,41104
108.02,5410108.02,5410108.02,39937
109.01,5410109.01,5410109.01,32619
109.02,5410109.02,5410109.02,35798
109.04,5410109.04,5410109.04,39983
109.05,5410109.05,5410109.05,32374
110,5410110,5410110.00,29890
111.01,5410111.01,5410111.01,31712
111.03,5410111.03,5410111.03,33607
111.04,5410111.04,5410111.04,27687
120.01,5410120.01,5410120.01,29517
120.02,5410120.02,5410120.02,28263
121,5410121,5410121.00,24146
122.01,5410122.01,5410122.01,27670
122.02,5410122.02,5410122.02,29001
123.01,5410123.01,5410123.01,29644
123.02,5410123.02,5410123.02,34515
124,5410124,5410124.00,22598
125,5410125,5410125.00,24685
126.01,5410126.01,5410126.01,27012
126.02,5410126.02,5410126.02,24398
126.05,5410126.05,5410126.05,31017
126.06,5410126.06,5410126.06,32746
126.07,5410126.07,5410126.07,34912
126.08,5410126.08,5410126.08,28179
126.09,5410126.09,5410126.09,25106
127.01,5410127.01,5410127.01,29617
127.02,5410127.02,5410127.02,29002
128,5410128,5410128.00,26479
129.01,5410129.01,5410129.01,25970
129.02,5410129.02,5410129.02,30005
130,5410130,5410130.00,33117
131.01,5410131.01,5410131.01,25489
131.03,5410131.03,5410131.03,30609
131.04,5410131.04,5410131.04,39366
140.01,5410140.01,5410140.01,34344
140.02,5410140.02,5410140.02,35711
